Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Machine Squat,"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound, Strength",Machine - Strength,The machine squat is similar to the leg press machine that works the same muscles and improves lower extremity strength,"('Start by adjusting the shoulder rack of the machine so that your feet comfortably reach the crosspiece and keeping a slight bend in your knees.', 'Once in position, press your feet forward and release the safety locks.', 'Slowly lower the weight towards your body, keeping your abs tightly drawn in and knees moving in the same direction as your feet.', ""Don't lock your knees or bounce the weight."")"
Cable Grip Lat Pulldown (Narrow Grip),Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting down on a cable machine and grabbing a narrow grip bar.', 'Slowly pull the bar down towards your chest, flexing at your elbows and keeping your back angled at around 45-degrees, and hold this position for a few seconds feeling the tension in your lats and lower back.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Cable Dual Overhead Curl,Biceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,The cable overhead curl exercise helps isolate and define the biceps,"('Start off by attaching a stirrup handle to each side of two high pulley cable machines and grab the handles with an under-hand grip (palms up), standing in between the machines with your feet shoulder width apart as this will be your starting position.', 'Once in position extend your arms out to your sides, keeping your elbows steady and then slowly curl your biceps towards the side of your head, isolating and squeezing the biceps.', 'Hold this position for a count while squeezing your biceps and then return back to the starting position.')"
Elevated Push-Up,"Chest, Shoulders, Triceps",Intermediate,"Strength, Compound",Bench,No Description,"('Start in a push-up position with a flat bench positioned behind your feet. ', 'Elevate your feet and place them either in the middle of the bench or at the edge of it (depending on the position of the bench) so that your body is elevated off of the floor.', 'Slowly lower yourself down towards the ground until your chest almost touches the floor and you feel tension in your muscles.', 'Hold this position for a second then return back to the starting position, pushing up with your pecs and squeezing your chest on the way up.', 'Repeat for as many reps and sets as desired.')"
Cable Pull Through,"Glutes, Lower Legs, Upper Legs",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('To begin this exercise; start off standing only a few feet from the cable machine holding the rope in between your legs just underneath your glutes.', 'Then take the rope, keeping your knees slightly bent, pull the rope through with only the use of your hips. ', 'Refrain from using your shoulders or arms to pull.', 'Repeat this exercise for as many repetitions as needed.')"
Dumbbell One-Arm Lateral Raise,Shoulders,Beginner,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; start off by holding a dumbbell in one hand and standing straight up next to an incline bench.', 'Have the dumbbell resting on your side next to your pelvis.', 'Take the dumbbell and raise it with your arm until it is at shoulder height and parallel to the floor.', 'Return the dumbbell back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Dumbbell Seated Wrist Curl,Forearms,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by sitting on a flat bench holding a dumbbell in each hand.', 'Lift the dumbbells up and place your forearms on your knees with palms facing up and the weights extended over your knees.', 'Once in position slowly curly your wrist upwards until you feel a tension in your forearm muscles.', 'Hold this position for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm High Curl,Biceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Begin by standing sideways next to a high pulley machine, arm extended out at about shoulder height and gripping the handle with one of your hands.', 'Slowly curl the cable towards your head, isolating the bicep until you feel tension, and hold for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Superman,Back,Beginner,Compound,Body Only,The superman exercise is great for the lower stretching and strengthening back and core muscles,"('Start by lying flat on your stomach with your arms stretched out in front of you.', 'Slowly raise your arms and legs up off of the floor and hold onto this position for a few seconds until you feel a tight stretch in your core and back muscles.', 'Return back to the starting position.')"
Smith Machine Split Squat,Glutes,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Begin in a lunge position underneath a smith machine bar with one foot in front and one foot in the back.', 'Release the bar off of the guides and slowly lower it until your thighs are parallel to the floor.', 'Hold this position for a count and then return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Assisted Chin-Up,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up the weight that will allow your body to lower towards the floor and that you would like to perform for this exercise, making sure that the knee rests are in position for your body to rest upon.', 'Climb onto the machine and place your knees upon the rest, then once in position grab the pull-up handles above you with an underhand, palms facing toward you, grip and lift yourself up towards the ceiling.', 'Squeeze your lat and back muscles as your body comes up towards the ceiling until your shoulders are at hand level and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Glute Kickback,Glutes,Beginner,"Strength, Isolation",Body Only,No Description,"('Start by setting up a standing glute kickback machine by adjusting the leg padding on the machine then place the padding underneath one of your knees.', 'Grab onto the bars and stand with a bend in your knees, then slowly push your leg behind you, extending back as far as you can, squeezing your glutes and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
EZ Bar Close Grip Curl,"Biceps, Forearms",Beginner,"Strength, Isolation",EZ Curl Bar,The EZ bar close grip curl uses an ez bar to isolate the bicep muscles,"('Start by standing up straight with your feet shoulder width apart, knees slightly bent and abs drawn in.', 'Grab an EZ bar with an underhand close grip on the inner-most part of the bar.', 'Extend your arms fully against your thighs.', 'Keeping your elbows straight, raise the bar towards your chest, squeezing your biceps as much as possible.', 'Pause for moment and then return to the starting position.', 'Repeat for as many reps and sets as desired.')"
